COLUMN_ID;COLUMN_NAME;IS_FILTER_DATE;IS_ID;IS_ORDER_BY;IS_PARTITION;NEW_DATA_TYPE;TABLE_NAME;ENDPOINT_NAME;TRANSFORMATION;DATA_SOURCE;TEAM
-2;processdate;False;False;False;False;timestamp;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_Datetime();apdayc;sofia
-1;lastmodifydate;True;False;False;False;timestamp;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_Datetime(lastmodifydate);apdayc;sofia
0;id_capacidad_vehiculo;False;True;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(id);apdayc;sofia
1;id_compania;False;False;False;True;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
2;cod_compania;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
3;cod_tipo_capacidad_vehiculo;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(tipcapveh);apdayc;sofia
4;desc_tipo_vehiculo;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(desctvehi1);apdayc;sofia
5;ststiveh;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(ststiveh);apdayc;sofia
6;pesoxcamion;False;False;False;False;integer;M_CAPACIDAD_VEHICULO;PEBDDATA2;pesoxcamion;apdayc;sofia
7;tarimasxcamion;False;False;False;False;integer;M_CAPACIDAD_VEHICULO;PEBDDATA2;tarimasxcamion;apdayc;sofia
8;config_vehiculo;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(configvehi);apdayc;sofia
9;imagen;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(imagen);apdayc;sofia
10;limcapfle;False;False;False;False;integer;M_CAPACIDAD_VEHICULO;PEBDDATA2;limcapfle;apdayc;sofia
11;fecha_creacion;False;False;False;False;timestamp;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_DatetimeMagic(feccreacio,horcreacio,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
12;usuario_creacion;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(usuacreac);apdayc;sofia
13;fecha_modificacion;False;False;False;False;timestamp;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_DatetimeMagic(fecultimod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
14;usuario_modificacion;False;False;False;False;string;M_CAPACIDAD_VEHICULO;PEBDDATA2;fn_transform_ClearString(usuaulmod);apdayc;sofia
-2;processdate;False;False;False;False;timestamp;M_PERSONA;PEBDDATA2;fn_transform_Datetime();apdayc;sofia
-1;lastmodifydate;True;False;False;False;timestamp;M_PERSONA;PEBDDATA2;fn_transform_Datetime(lastmodifydate);apdayc;sofia
0;id_persona;False;True;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(id);apdayc;sofia
1;id_compania;False;False;False;True;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
2;cod_compania;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
3;cod_persona;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(persona);apdayc;sofia
4;nomb_persona;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(nombcomp);apdayc;sofia
5;nombre;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(nombres);apdayc;sofia
6;apellido_paterno;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(apellidopa);apdayc;sofia
7;apellido_materno;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(apellidoma);apdayc;sofia
8;nro_documento;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(docidentid);apdayc;sofia
9;fecha_creacion;False;False;False;False;timestamp;M_PERSONA;PEBDDATA2;fn_transform_DatetimeMagic(feccrea,horcrea,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
10;usuario_creacion;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(usucrea);apdayc;sofia
